objectid,id,cod_setor,st_areashape,st_lengthshape
137,330455705070062,070062,894.72187917,123.734267649323
138,330455705070063,070063,8070.97588839,400.810846709431
139,330455705070064,070064,3636.270271165,298.917883552398
140,330455705070065,070065,19137.145463935,678.889311277121
141,330455705070066,070066,19424.243127235,634.444296131597
142,330455705070067,070067,7415.152922255,402.965975407335
143,330455705070068,070068,6652.0169023,424.63166126936
144,330455705070069,070069,8245.932243215,445.226798334489
145,330455705070070,070070,23043.747626915,616.102164281556
146,330455705070071,070071,35835.305232255,1116.4978018989
147,330455705070072,070072,10142.6066177,826.144124997511
148,330455705070073,070073,16872.78367136,766.560048635887
149,330455705070074,070074,4023.783651415,396.442809431909
150,330455705070075,070075,8102.813086165,421.250336773009
151,330455705070076,070076,16036.092780645,680.130182686271
152,330455705070077,070077,34264.513041475,831.301110495063
153,330455705070078,070078,5910.3948051,496.424402646333
154,330455705070079,070079,10981.92083427,610.748260065268
155,330455705070080,070080,9814.549689305,474.715476113914
156,330455705070081,070081,4907.22711852,278.753991318812
157,330455705070082,070082,3157.457337035,247.42196246285
158,330455705070083,070083,17692.59193564,1139.32705257048
159,330455705070084,070084,14074.7057466,588.650865049061
160,330455705070085,070085,11003.89658335,521.960412316611
161,330455705070086,070086,25943.209262655,674.938102386378
162,330455705070087,070087,6116.13049938,388.350346765246
163,330455705070088,070088,47299.51381366,924.77690915502
164,330455705070089,070089,210949.669110835,2145.66615797674
165,330455705070090,070090,16779.16935497,718.492148374884
166,330455705070091,070091,3918.66960905,266.938599830092
167,330455705070092,070092,63680.928101225,1108.96495259208
168,330455705070093,070093,18678.64675789,551.897525942273
169,330455705070094,070094,14886.177995895,542.614450682423
170,330455705070095,070095,127292.587130075,1722.50031182658
171,330455705070096,070096,2819.7604072,214.719019887723
172,330455705070097,070097,3229.8616039,230.315811639818
173,330455705070098,070098,1862.60881608,172.97038174222
174,330455705070099,070099,1633.39483394,162.362090907723
175,330455705070100,070100,572.24865249,99.7710837825869
176,330455705070101,070101,1152.69359751,139.572814281586
177,330455705080001,080001,92914.730784315,1791.00947919694
178,330455705080002,080002,8171.44794589,397.363304947081
179,330455705080003,080003,45245.57315511,1131.33603983473
180,330455705080004,080004,31596.78783322,1121.40443590823
181,330455705080005,080005,105879.592797855,2977.93233207493
182,330455705080006,080006,20623.49593909,855.553716767864
183,330455705080007,080007,6896.68789504,525.583404802388
184,330455705080008,080008,9060.101872995,537.217786922054
185,330455705080009,080009,6239.730026285,522.107206427059
186,330455705080010,080010,6935.50623398,407.984246589376
187,330455705080011,080011,3752.57594507,433.047132635831
188,330455705080012,080012,4373.837333975,502.575123964903
189,330455705080013,080013,17490.371156865,812.022813385056
190,330455705080014,080014,18374.58674367,587.752977598478
191,330455705080015,080015,5096.89874141,419.032205902622
192,330455705080016,080016,15020.87646664,743.723235713078
193,330455705080017,080017,5798.648324625,461.239475774191
194,330455705080018,080018,20060.108248905,860.098858427114
195,330455705080019,080019,30310.830220305,1069.06583492931
196,330455705080020,080020,89648.109520695,1269.46828702671
197,330455705080021,080021,14612.64893969,561.417166983072
198,330455705080022,080022,12545.12752372,689.8650033866
199,330455705080023,080023,14370.969930465,555.183087296169
200,330455705080024,080024,78532.256743655,2235.56951322884
201,330455705080025,080025,35765.718740495,1117.75451071188
202,330455705080026,080026,1857.7841301,174.316424610915
203,330455705080027,080027,15641.715259985,607.082216366389
204,330455705080028,080028,5690.49445175,429.269029063425
205,330455705080029,080029,29933.087458525,911.671889492996
206,330455705080030,080030,230363.89393395,5854.7272289237
207,330455705080031,080031,31317.02609898,1545.28960525302
208,330455705080032,080032,34574.238109805,1835.27774703907
209,330455705080033,080033,28794.10163614,679.683084005539
210,330455705080034,080034,19820.5261248,566.561356386005
211,330455705080035,080035,58616.138734405,982.17807261862
212,330455705080036,080036,2568.16814967,209.482636725681
213,330455705080037,080037,25141.40964712,1102.50203124535
214,330455705080038,080038,44730.007819085,2581.71396104473
215,330455705080039,080039,42010.391939075,1736.36650263928
216,330455705080040,080040,16746.416812645,756.000764818738
217,330455705080041,080041,82815.20100415,1702.43010848577
218,330455705080042,080042,50196.17552924,1331.38002317274
219,330455705080043,080043,38090.11453593,883.231526489885
220,330455705080044,080044,12438.03722599,629.862513803807
221,330455705080045,080045,12470.132842395,568.273306245348
222,330455705080046,080046,17376.575314545,950.44586351018
223,330455705080047,080047,54763.584356775,2088.82790542898
224,330455705080048,080048,20751.469891715,787.752433861407
225,330455705080049,080049,46577.09622586,1029.13699057743
226,330455705080050,080050,17730.520884785,669.773283640869
227,330455705080051,080051,51931.464596095,1402.41956123756
228,330455705080052,080052,63033.25420999,1475.92108571275
229,330455705080053,080053,39858.56106223,1429.29535331478
230,330455705080054,080054,69246.786716175,1966.99853480674
231,330455705080055,080055,37646.362687955,1453.74622841073
232,330455705080056,080056,25515.79138211,1077.37765203753
233,330455705080057,080057,57906.40557338,2630.86662796802
234,330455705080058,080058,22408.776625255,858.606048936003
235,330455705080059,080059,80494.443490845,1528.96937426616
236,330455705080060,080060,45379.707347915,1289.12998694033
237,330455705080061,080061,50855.01805495,1279.66667209392
238,330455705080062,080062,36393.820944925,976.99301552548
239,330455705080063,080063,39053.997344555,1068.55929548042
240,330455705080064,080064,3816.77650338,501.783398184801
241,330455705080065,080065,5999.67314089,527.542499878784
242,330455705080066,080066,4018.530948345,309.000556648223
243,330455705080067,080067,14163.554162815,581.980570222121
244,330455705080068,080068,4179.560419365,390.484863955833
245,330455705080069,080069,52321.44554128,1536.86042534631
246,330455705080070,080070,24599.82394407,635.892654203537
247,330455705080071,080071,14364.1913275,681.304765264636
248,330455705080072,080072,8052.8016361,425.576139788829
249,330455705080073,080073,61377.265457195,1122.64426036278
250,330455705080074,080074,25577.947963565,787.554453286957
251,330455705080075,080075,44880.72569096,1475.51970991129
252,330455705080076,080076,4447.070262045,283.963566512154
253,330455705080077,080077,26137.13334231,1318.52602698801
254,330455705080078,080078,41425.79393663,1461.6582175117
255,330455705080079,080079,36201.8747241,1337.97540025443
256,330455705080080,080080,15117.822035075,611.613737859644
257,330455705080081,080081,16449.92710795,622.863251277796
258,330455705080082,080082,23991.19221675,678.846518932847
259,330455705080083,080083,15711.78366148,663.836694033931
260,330455705080084,080084,40128.019733545,1024.79266547125
261,330455705080085,080085,25305.166685095,1455.06708827816
262,330455705080086,080086,4828.273177855,361.171445124677
263,330455705080087,080087,43821.888537375,1082.03983201691
264,330455705080088,080088,53383.528619525,1241.9346089529
265,330455705080089,080089,10275.132308765,436.512984960307
266,330455705080090,080090,24339.209137255,756.882507639258
267,330455705080091,080091,100935.40517047,1462.28573339121
268,330455705080092,080092,59271.26876701,1373.56932894951
269,330455705080093,080093,60256.84227364,1665.36523040872
270,330455705080094,080094,37458.80387414,900.584398008653
271,330455705080095,080095,79614.346472045,1603.52220143359
272,330455705080096,080096,548937.0905683,4065.20573689269
273,330455705080097,080097,18615.509433345,541.58613184155
274,330455705080098,080098,6938.238005785,379.2330134068
275,330455705080099,080099,69804.64294168,1170.79088582845
276,330455705080100,080100,7173.90854622,602.116365706764
277,330455705080101,080101,2530.02472188,336.779700950901
278,330455705080102,080102,10965.906797535,507.693821123828
279,330455705080103,080103,14620.940125605,718.557500250674
280,330455705080104,080104,10995.76943677,536.36575148918
281,330455705080105,080105,12609.70677463,718.850019374623
282,330455705080106,080106,8613.707882885,569.179121589777
283,330455705080107,080107,9464.70930505,439.478194319477
284,330455705080108,080108,14930.24452776,705.233404392996
285,330455705080109,080109,5058.17898165,429.295943855377
286,330455705080110,080110,88477.168653525,2435.00853537769
287,330455705080111,080111,26157.117024335,1790.26761445999
288,330455705080112,080112,37200.118837145,1070.62459483045
289,330455705080113,080113,13339.67763549,498.924865753723
290,330455705080114,080114,24852.65117196,650.331164978195
291,330455705080115,080115,22014.96786282,915.796867609795
292,330455705080116,080116,20622.87642227,920.432270000244
293,330455705080117,080117,26887.754083425,723.434108272616
294,330455705080118,080118,26711.395956735,1167.08171498921
